	[run number]	density	probability-of-spread	slow-to-burn-ratio	percentage burned
slow-to-burn-ratio:					
0					
probability-of-spread:					Average:
	458	60	35	60	5.601222468120980
	459	60	35	60	6.725030890974580
	460	60	35	60	12.550553778647100
40					47.7117142036714
	511	60	40	60	54.2713567839196
	512	60	40	60	59.93386243386240
	513	60	40	60	74.90171244623870
	514	60	40	60	26.464678510998300
	515	60	40	60	27.207283506246000
	516	60	40	60	27.56991986414050
	517	60	40	60	47.02316632844000
	518	60	40	60	51.98032890910050
	519	60	40	60	65.70031712473570
	520	60	40	60	42.064516129032300
45					88.0883229649565
	571	60	45	60	87.95630092053750
	572	60	45	60	88.79401781926180
	573	60	45	60	88.5144592631718
	574	60	45	60	88.1466029415648
	575	60	45	60	88.5652529193136
	576	60	45	60	87.171972825363
	577	60	45	60	89.38892391761240
	578	60	45	60	86.46165285744640
